"Date","Loop","Whitesheet.Filename","Whitesheet.Entry.Number","Time","Latitude","Longitude","Species","Multispecies","Sun","Wind","Rain","Activity","Grass.height","Grass.color","Grass.spp.1","Grass.spp.2","Grass.spp.3","Grass.spp.4","Bush.type","Photos.begin","Photos.end","Total.animals","Male..T.","Male..B.","Female..NL.","Female..L.","Female..P.","X2.year.old","X1.year.old","X6.12.months.old","X3.6.months.old","X1.3.months.old","X0.1.months.old","Notes","Distance.from.water","Distance.from.cattle","Closest.mob.size","QuickSpecies","Year","Month","Day","Hour","Minute","Other.species.1","Other.species.2","Other.species.3","Number.grasses","NDVI","EVI","Primary.habitat","Secondary.habitat","Tertiary.habitat","Distance.secondary","Distance.tertiary"
"6/4/21","1","DSCN2512","3","1315",0.462613257,36.84806615,"PZ","0","full","no wind","no rain","Standing","hock","brown with some green","Pennisetum stramineum","Pennisetum mezzianum","Cenchrus ciliaris","Chloris roxburghiana","light","","","14","","","","","","","","","","","","No photos","0.003661803","0.006795018","240","PZ","2021","6","4","13","15","","","","4",0.331978678703308,0.521298659859604,"LB","LB","LB",4.32079514918449e-08,6.33853337970199e-08
"6/9/21","2","DSCN6199","2","1101",0.498814734,36.85239056,"Cattle","","full","medium","no rain","Standing","hoof","brown with some green","Cynodon plectostachyus","Digitaria macroblefara","Cenchrus ciliaris","Cymbopogon pospischilii","light","","","350","","","","","","","","","","","","","0.004425795","0","350","Cattle","2021","6","9","11","1","","","","4",0.30763453245163,0.435445011337869,"MB","OB","MB",2.6441944289815e-08,6.1079364537713e-08
"6/9/21","2","DSCN6199","3","113",0.481462847,36.84472529,"Cattle","","full","medium","no rain","Grazing","hock","green","Pennisetum stramineum","Pennisetum mezzianum","Cynodon plectostachyus","Enteropogon macrostachyus","light","","","","","","","","","","","","","","","","0.000748188","0.000157808","300","Cattle","2021","6","9","1","13","Oryx"," Impala","","4",0.422680407762527,0.705909725453699,"MB","LB","MB",2.9071054279657e-08,7.68052345622586e-08
"6/10/21","2","DSCN6458","1","1055",0.490301121,36.85837738,"Cattle","","full","light","no rain","Walking","hoof","brown with some green","Cynodon plectostachyus","Cynodon dactylon","Enteropogon macrostachyus","Pennisetum stramineum","medium","","","200","","","","","","","","","","","","","0.007654224","0","200","Cattle","2021","6","10","10","55","Oryx"," Impala","","4",0.288398295640945,0.422051141050316,"LB","LB","LB",5.0774796163282e-08,7.07594755393537e-08
"6/11/21","2","DSCN6468","1","1120",0.497184191,36.84358289,"Cattle","","full","light","no rain","Grazing","hoof","green with some brown","Cynodon nlemfuensis","Cynodon dactylon","Pennisetum stramineum","","medium","","","240","","","","","","","","","","","","","0.000407908","0","240","Cattle","2021","6","11","11","20","","","","3",0.365865737199783,0.576682804935187,"LB","LB","LB",2.94650247556249e-08,6.53171429681157e-08
"6/12/21","2","DSCN6473","2","930",0.476963095,36.85777227,"Cattle","","full","no wind","no rain","Grazing","hoof","brown with some green","Eragrostis tenuifolia","Pennisetum stramineum","Themeda triandra","","light","","","200","","","","","","","","","","","","","0.004908323","0","200","Cattle","2021","6","12","9","30","","","","3",0.303122788667679,0.452823570676955,"OB","OB","LB",3.48249817947262e-08,5.28834594119245e-08
"6/12/21","2","DSCN6475","1","1006",0.499879586,36.84572777,"Cattle","","part","no wind","no rain","Grazing","hoof","brown","Pennisetum stramineum","Chloris roxburghiana","Cenchrus ciliaris","Cynodon plectostachyus","light","","","239","","","","","","","","","","","","","0.00108096","0","239","Cattle","2021","6","12","10","6","","","","4",0.340725809335709,0.52758916725201,"LB","LB","LB",2.86635474307976e-08,7.07279638001736e-08
"6/12/21","2","DSCN3247","1","1029",0.455600409,36.8317498,"Cattle","","full","light","no rain","Grazing","hock","brown with some green","Pennisetum mezzianum","Cynodon plectostachyus","Pennisetum stramineum","Chloris roxburghiana","medium","","","250","","","","","","","","","","","","Rongai Area","0.007197225","0","250","Cattle","2021","6","12","10","29","","","","4",0.339368999004364,0.551395203708656,"LB","LB","LB",4.44554843267335e-08,6.5891267802331e-08
"6/12/21","2","DSCN3247","3","1126",0.465873341,36.83619868,"Cattle","","full","light","no rain","Grazing","belly","brown with some green","Bothriochloa insculpta","Eragrostis tenuifolia","Cynodon plectostachyus","Chloris roxburghiana","medium","","","80","","","","","","","","","","","","Rongai Area","0.007463698","0","80","Cattle","2021","6","12","11","26","","","","4",0.316277891397476,0.483475193620121,"LB","OB","OB",4.13305177209791e-08,5.26465292669038e-08
"6/14/21","2","DSCN3241","1","1127",0.501133379,36.84777045,"Cattle","","full","light","no rain","Grazing","hoof","brown with some green","Cynodon nlemfuensis","Cynodon plectostachyus","","","open grassland","","","160","","","","","","","","","","","","","0.0004343","0","160","Cattle","2021","6","14","11","27","","","","2",0.358463376760483,0.555348906412736,"MB","MB","MB",3.24860327706758e-08,7.62760205750628e-08
"6/15/21","2","DSCN6973","1","930",0.477660938,36.85950232,"Cattle","","full","light","no rain","Grazing","hock","green with some brown","Cynodon dactylon","Cynodon plectostachyus","Chloris roxburghiana","Cyperus rubicundus","light","","","300","","","","","","","","","","","","","0.003221681","0","300","Cattle","2021","6","15","9","30","","","","4",0.306389153003693,0.457998697634035,"LB","OB","LB",4.67005087091626e-08,6.60750551341871e-08
"6/15/21","2","DSCN6974","2","1039",0.485785825,36.84534865,"Cattle","","full","medium","no rain","Grazing","hock","brown with some green","Cynodon plectostachyus","Pennisetum stramineum","Digitaria macroblefara","Pennisetum mezzianum","medium","","","220","","","","","","","","","","","","","0.000246175","0","220","Cattle","2021","6","15","10","39","","","","4",0.347115874290466,0.536997551922925,"LB","LB","LB",3.42237665587724e-08,6.86953843080971e-08
"6/16/21","2","DSCN7378","3","1213",0.500134224,36.85173496,"Cattle","","part","no wind","no rain","Grazing","hoof","brown","Cynodon plectostachyus","Chloris roxburghiana","Eragrostis tenuifolia","","light","","","150","","","","","","","","","","","","","0.00402267","0","150","Cattle","2021","6","16","12","13","","","","3",0.315096765756607,0.456039441248973,"MB","OB","MB",3.55790255720414e-08,4.37299205375148e-08
"6/16/21","2","DSCN7379","1","1217",0.502111389,36.85056664,"Cattle","","full","light","no rain","Drinking","hoof","brown with some green","Cynodon dactylon","Cynodon plectostachyus","Enteropogon macrostachyus","Microchloa kunthii","light","","","150","","","","","","","","","","","","","0.003229423","0","150","Cattle","2021","6","16","12","17","","","","4",0.309613585472107,0.441680672268908,"LB","LB","LB",3.17250599135279e-08,7.48273998001956e-08
"6/16/21","2","DSCN7380","1","1257",0.494742247,36.84913502,"Cattle","","part","no wind","no rain","Walking","hoof","brown","Cynodon plectostachyus","Eragrostis tenuifolia","Chloris roxburghiana","Chloris virgata","light","","","200","","","","","","","","","","","","","0.000488901","0","200","Cattle","2021","6","16","12","57","","","","4",0.382592350244522,0.596971177332682,"MB","MB","MB",3.92958231513819e-08,4.60819446082162e-08
"6/16/21","2","DSCN7380","2","1303",0.489298872,36.84842902,"Camel","","part","no wind","no rain","Standing","hoof","brown","Cyperus teneristolon","Cynodon plectostachyus","Chloris virgata","Pennisetum stramineum","light","","","","","","","","","","","","","","","","0.001779694","0.001876624","220","Camel","2021","6","16","13","3","","","","4",0.266827464103699,0.392732670711243,"OB","OB","OB",5.75724305381336e-08,5.82805639478625e-08
"6/17/21","2","DSCN7997","2","1100",0.485345348,36.85832857,"Cattle","","full","light","no rain","Grazing","hoof","green with some brown","Cynodon plectostachyus","Cynodon nlemfuensis","Pennisetum stramineum","Enteropogon macrostachyus","medium","","","","","","","","","","","","","","","","0.003549159","0","162","Cattle","2021","6","17","11","0","","","","4",0.327249675989151,0.508187686978429,"LB","LB","LB",2.39764442885834e-08,6.64143175465009e-08
"6/17/21","2","DSCN7998","2","1240",0.49890006,36.85149937,"Cattle","","full","light","no rain","Resting","hoof","brown","Cynodon plectostachyus","Cynodon nlemfuensis","Pennisetum stramineum","","medium","","","162","","","","","","","","","","","","","0.001951036","0.00434293","300","Cattle","2021","6","17","12","40","","","","3",0.296389162540436,0.41421362489487,"OB","OB","MB",2.32928433955927e-08,5.79400274086108e-08
"6/17/21","2","DSCN7998","3","1308",0.49842216,36.84550815,"Cattle","","full","light","no rain","Grazing","hoof","brown with some green","Pennisetum stramineum","Pennisetum mezzianum","Cynodon plectostachyus","","medium","","","240","","","","","","","","","","","","","0.001059061","0","240","Cattle","2021","6","17","13","8","","","","3",0.385634779930115,0.638269871907352,"MB","LB","MB",3.83972161893298e-08,7.37729409492554e-08
"6/18/21","1","DSCN7109","3","1104",0.468435333,36.85156982,"Cattle","","full","light","no rain","Grazing","hock","brown","Pennisetum mezzianum","Pennisetum stramineum","Cynodon plectostachyus","Chloris roxburghiana","medium","","","240","","","","","","","","","","","","","0.002111801","0.003356168","300","Cattle","2021","6","18","11","4","","","","4",0.329760074615479,0.495095033721643,"LB","MB","LB",3.9497407359265e-08,4.92030534963995e-08
"6/18/21","2","DSCN7111","3","1029",0.486811836,36.8604694,"Cattle","","full","no wind","no rain","Grazing","hock","brown","Cynodon plectostachyus","Microchloa kunthii","Pennisetum stramineum","Cyperus rubicundus","light","","","200","","","","","","","","","","","","","0.003994164","0","300","Cattle","2021","6","18","10","29","","","","4",0.314326107501984,0.486506199854121,"OB","OB","OB",4.61734189266389e-08,6.05134447754498e-08
"6/18/21","2","DSCN7112","2","1052",0.500591593,36.84561668,"Cattle","","full","light","no rain","Grazing","hoof","brown","Microchloa kunthii","Cynodon plectostachyus","Cyperus rubicundus","Pennisetum stramineum","light","","","300","","","","","","","","","","","","","0.002044934","0","100","Cattle","2021","6","18","10","52","Oryx","","","4",0.34715273976326,0.553739738522347,"OB","LB","LB",3.32402153812663e-08,7.73590675474044e-08
"6/18/21","2","DSCN7113","1","1121",0.481442805,36.84456876,"Cattle","","full","no wind","no rain","Walking","hoof","brown","Chloris virgata","Pennisetum stramineum","Cynodon dactylon","Eragrostis tenuifolia","light","","","300","","","","","","","","","","","","","0.003431691","0.004208283","80","Cattle","2021","6","18","11","21","","","","4",0.422680407762527,0.705909725453699,"MB","MB","MB",4.51561170706007e-08,7.09874905021459e-08
"6/18/21","2","DSCN7113","2","1127",0.472066786,36.85210161,"Cattle","","full","no wind","no rain","Walking","hoof","brown","Pennisetum stramineum","Pennisetum mezzianum","Enteropogon macrostachyus","Digitaria macroblefara","light","","","100","","","","","","","","","","","","","0.003431691","0.004208283","80","Cattle","2021","6","18","11","27","","","","4",0.349522083997726,0.544949250845819,"LB","LB","LB",4.19309298488466e-08,5.44224591955716e-08
"6/21/21","1","DSCN3627","1","1030",0.462287155,36.84102734,"Cattle","","no sun","no wind","no rain","Grazing","hoof","brown","Pennisetum stramineum","Eragrostis tenuifolia","Enteropogon macrostachyus","Microchloa kunthii","light","","","100","","","","","","","","","","","","","0.003908117","0.006067347","80","Cattle","2021","6","21","10","30","","","","4",0.329954385757446,0.509628933771724,"LB","LB","LB",3.13319236347498e-08,6.60328607689933e-08
"6/21/21","2","DSCN7107","1","1002",0.468119882,36.85876544,"Cattle","","no sun","light","no rain","Grazing","hoof","green with some brown","Cynodon plectostachyus","Cynodon nlemfuensis","Pennisetum stramineum","","medium","","","120","","","","","","","","","","","","","0.004865595","0.003768251","200","Cattle","2021","6","21","10","2","","","","3",0.344732224941254,0.529507183686081,"LB","LB","OB",3.61327674616135e-08,3.67772349450339e-08
"6/21/21","2","DSCN7108","1","1034",0.487642345,36.86004173,"Cattle","","full","light","no rain","Grazing","hoof","brown","Cynodon nlemfuensis","Cyperus rubicundus","Pennisetum mezzianum","","light","","","162","","","","","","","","","","","","","","","","Cattle","2021","6","21","10","34","","","","3",0.314731627702713,0.482771128037722,"OB","OB","OB",4.62534057992773e-08,7.13025321867917e-08
"6/21/21","2","DSCN7108","3","1129",0.487708951,36.84743209,"Cattle","","full","light","no rain","Grazing","hoof","brown","Cynodon plectostachyus","Cynodon nlemfuensis","Pennisetum mezzianum","","light","","","220","","","","","","","","","","","","","","","","Cattle","2021","6","21","11","29","","","","3",0.330745339393616,0.51993490642799,"LB","LB","LB",2.84834453743901e-08,5.68817138702179e-08
"6/22/21","1","DSCN8000","1","927",0.481162289,36.84088194,"MC","","full","light","no rain","Grazing","hock","brown with some green","Cynodon plectostachyus","Pennisetum stramineum","Enteropogon macrostachyus","","medium","","","120","","","","","","","","","","","","Ngaremata Dam Area, Mpala cattle","","","","Cattle","2021","6","22","9","27","","","","3",0.398769736289978,0.708987161198288,"LB","MB","LB",5.82942303797036e-08,6.29369962541952e-08
"6/22/21","1","DSCN8000","2","951",0.478734676,36.84456276,"MC","","full","","","Grazing","hock","brown with some green","Pennisetum stramineum","Cynodon nlemfuensis","Enteropogon macrostachyus","Pennisetum mezzianum","medium","","","100","","","","","","","","","","","","Ngaremata Dam Area, Mpala cattle","","","","Cattle","2021","6","22","9","51","","","","4",0.36174863576889,0.594949222611665,"LB","LB","LB",4.30628044182266e-08,6.50225371821077e-08
