GPS.x,GPS.y,Latitude,Longitude
261187.5192,54903.36482,"0.493674376163582","36.85514688978421"
261351.8616,55242,"0.496736443032694","36.856621820750405"
261351.8616,55242,"0.496736443032694","36.856621820750405"
261592,55511.6077,"0.499174665141865","36.85877765930195"
261926.2117,57837.8443,"0.520207121443565","36.86177217034681"
262476.9707,57730.11076,"0.519234796057102","36.866718782557136"
262435.6438,56947.04142,"0.512154930941162","36.86635000221741"
262661.5138,55707.55674,"0.500949404914854","36.86838219118776"
263010.4862,54880.44326,"0.493472469111497","36.871518671064116"
263675.4463,54716.784,"0.491994745579376","36.87749106399956"
263821.2583,54542.95202,"0.490423537678593","36.8788010843031"
264006.3543,54034.59218,"0.485827941604504","36.880464860287105"
264049.1394,53677.30222,"0.48259777052072","36.880850118048535"
264049.1394,53677.30222,"0.48259777052072","36.880850118048535"
263755.1303,53369.09539,"0.47981041375741","36.878210521633434"
263791.8356,53248.44935,"0.478719746389052","36.878540505074795"
263791.8356,53248.44935,"0.478719746389052","36.878540505074795"
263592.9904,53053.5,"0.476956635246614","36.876755246386445"
262763,52692,"0.47368596991106","36.86930224164428"
261722,52282.51666,"0.469980923726906","36.85995437923931"
262253.3974,43475.13047,"0.390354800386697","36.86474901969942"
259959.4234,49730.31139,"0.446901811865902","36.84413213640652"
269739.4279,50947.66044,"0.457933935382717","36.93196215278437"
260216.6905,53911.46275,"0.484703841935347","36.84643101250105"
259518.3582,53918.50933,"0.484765526241142","36.84015949564199"
261265.3713,55115.94955,"0.495596572191776","36.85584544036957"
261363.8587,54548.85298,"0.490469768013574","36.85673158215808"
261363.8587,54548.85298,"0.490469768013574","36.85673158215808"
262054.225,55000.5,"0.494555112524039","36.86293030318832"
262054.225,55000.5,"0.494555112524039","36.86293030318832"
262239.1673,55548.5,"0.499510122260965","36.86458963429217"
262239.1673,55548.5,"0.499510122260965","36.86458963429217"
262239.1673,55548.5,"0.499510122260965","36.86458963429217"
261661.3975,56135,"0.504810941581432","36.859399060173395"
261948.3038,57202.52704,"0.514463295839551","36.86197250938696"
262156.3494,57746.03093,"0.519377745865712","36.863839280890886"
262267.6381,58013.70678,"0.52179814560323","36.86483792921701"
262267.6381,58013.70678,"0.52179814560323","36.86483792921701"
262722.3397,58397,"0.525264911334139","36.86892036723873"
261276.4956,56997.2608,"0.512605444429962","36.85593974949565"
260979.809,56600,"0.50901293224661","36.853276470616905"
260941.5648,55862.5,"0.502345129647333","36.8529352118091"
262377.9045,52510.5,"0.472043948856781","36.865844278023424"
263792.213,53303.55484,"0.479217960784331","36.87854374032608"
263930.9511,53369.34648,"0.479813179716756","36.87978954654423"
263930.9511,53369.34648,"0.479813179716756","36.87978954654423"
264569.2159,53236.61902,"0.478614971115707","36.88552211034892"
264415.7128,53708,"0.48287635075108","36.88414219251157"
263723.5034,53856.46382,"0.484216661368423","36.87792511219396"
263723.5034,53856.46382,"0.484216661368423","36.87792511219396"
263153.2872,53782,"0.483541804757829","36.87280428836715"
262860.8204,54708.377,"0.491916376544831","36.87017504174975"
262955.9293,54929.42649,"0.493915169608941","36.87102856183975"
262955.9293,54929.42649,"0.493915169608941","36.87102856183975"
263532.303,55107.95389,"0.495530925404672","36.87620438163647"
263594.718,55954,"0.50318027164338","36.87676245504401"
262766.9981,55538.44924,"0.499420811149357","36.86933002578874"
262354.583,54206.89475,"0.487381000904841","36.86563005137018"
262441.1452,53860.04551,"0.484245382334369","36.86640843999079"
262138.4425,53432.79111,"0.480381710000112","36.86369113793739"
